name,generation,type_1,type_2
Bulbasaur,1,Grass,Poison
Ivysaur,1,Grass,Poison
Venusaur,1,Grass,Poison
Mega Venusaur,1,Grass,Poison
Charmander,1,Fire,
Charmeleon,1,Fire,
Charizard,1,Fire,Flying
Mega Charizard X,1,Fire,Dragon
Mega Charizard Y,1,Fire,Flying
Squirtle,1,Water,
Wartortle,1,Water,
Blastoise,1,Water,
Mega Blastoise,1,Water,
Caterpie,1,Bug,
Metapod,1,Bug,
Butterfree,1,Bug,Flying
Weedle,1,Bug,Poison
Kakuna,1,Bug,Poison
Beedrill,1,Bug,Poison
Mega Beedrill,1,Bug,Poison
Pidgey,1,Normal,Flying
Pidgeotto,1,Normal,Flying
Pidgeot,1,Normal,Flying
Mega Pidgeot,1,Normal,Flying
Rattata,1,Normal,
Alolan Rattata,1,Dark,Normal
Raticate,1,Normal,
Alolan Raticate,1,Dark,Normal
Spearow,1,Normal,Flying
Fearow,1,Normal,Flying
Ekans,1,Poison,
Arbok,1,Poison,
Pikachu,1,Electric,
Partner Pikachu,1,Electric,
Raichu,1,Electric,
Alolan Raichu,1,Electric,Psychic
Sandshrew,1,Ground,
Alolan Sandshrew,1,Ice,Steel
Sandslash,1,Ground,
Alolan Sandslash,1,Ice,Steel
Nidoran♀,1,Poison,
Nidorina,1,Poison,
Nidoqueen,1,Poison,Ground
Nidoran♂,1,Poison,
Nidorino,1,Poison,
Nidoking,1,Poison,Ground
Clefairy,1,Fairy,
Clefable,1,Fairy,
Vulpix,1,Fire,
Alolan Vulpix,1,Ice,
Ninetales,1,Fire,
Alolan Ninetales,1,Ice,Fairy
Jigglypuff,1,Normal,Fairy
Wigglytuff,1,Normal,Fairy
Zubat,1,Poison,Flying
Golbat,1,Poison,Flying
Oddish,1,Grass,Poison
Gloom,1,Grass,Poison
Vileplume,1,Grass,Poison
Paras,1,Bug,Grass
Parasect,1,Bug,Grass
Venonat,1,Bug,Poison
Venomoth,1,Bug,Poison
Diglett,1,Ground,
Alolan Diglett,1,Ground,Steel
Dugtrio,1,Ground,
Alolan Dugtrio,1,Ground,Steel
Meowth,1,Normal,
Alolan Meowth,1,Dark,
Galarian Meowth,1,Steel,
Persian,1,Normal,
Alolan Persian,1,Dark,
Psyduck,1,Water,
Golduck,1,Water,
Mankey,1,Fighting,
Primeape,1,Fighting,
Growlithe,1,Fire,
Arcanine,1,Fire,
Poliwag,1,Water,
Poliwhirl,1,Water,
Poliwrath,1,Water,Fighting
Abra,1,Psychic,
Kadabra,1,Psychic,
Alakazam,1,Psychic,
Mega Alakazam,1,Psychic,
Machop,1,Fighting,
Machoke,1,Fighting,
Machamp,1,Fighting,
Bellsprout,1,Grass,Poison
Weepinbell,1,Grass,Poison
Victreebel,1,Grass,Poison
Tentacool,1,Water,Poison
Tentacruel,1,Water,Poison
Geodude,1,Rock,Ground
Alolan Geodude,1,Rock,Electric
Graveler,1,Rock,Ground
Alolan Graveler,1,Rock,Electric
Golem,1,Rock,Ground
Alolan Golem,1,Rock,Electric
Ponyta,1,Fire,
Galarian Ponyta,1,Psychic,
Rapidash,1,Fire,
Galarian Rapidash,1,Psychic,Fairy
Slowpoke,1,Water,Psychic
Slowbro,1,Water,Psychic
Mega Slowbro,1,Water,Psychic
Magnemite,1,Electric,Steel
Magneton,1,Electric,Steel
Farfetch'd,1,Normal,Flying
Galarian Farfetch'd,1,Fighting,
Doduo,1,Normal,Flying
Dodrio,1,Normal,Flying
Seel,1,Water,
Dewgong,1,Water,Ice
Grimer,1,Poison,
Alolan Grimer,1,Poison,Dark
Muk,1,Poison,
Alolan Muk,1,Poison,Dark
Shellder,1,Water,
Cloyster,1,Water,Ice
Gastly,1,Ghost,Poison
Haunter,1,Ghost,Poison
Gengar,1,Ghost,Poison
